,sl,index,sentence,promptsForPython,promptsForJulius
626,627,si627,The humor of the situation can be imagined.,THE HUMOR OF THE SITUATION CAN BE IMAGINED,*/sample627 THE HUMOR OF THE SITUATION CAN BE IMAGINED
627,628,si628,It all takes place in the eighteenth century.,IT ALL TAKES PLACE IN THE EIGHTEENTH CENTURY,*/sample628 IT ALL TAKES PLACE IN THE EIGHTEENTH CENTURY
628,629,si629,His technique is ample and his musical ideas are projected beautifully.,HIS TECHNIQUE IS AMPLE AND HIS MUSICAL IDEAS ARE PROJECTED BEAUTIFULLY,*/sample629 HIS TECHNIQUE IS AMPLE AND HIS MUSICAL IDEAS ARE PROJECTED BEAUTIFULLY
629,630,si630,What a discussion can ensue when the title of this type of song is in question.,WHAT A DISCUSSION CAN ENSUE WHEN THE TITLE OF THIS TYPE OF SONG IS IN QUESTION,*/sample630 WHAT A DISCUSSION CAN ENSUE WHEN THE TITLE OF THIS TYPE OF SONG IS IN QUESTION
630,631,si631,Program note reads as follows: take hands; this urgent visage beckons us.,PROGRAM NOTE READS AS FOLLOWS TAKE HANDS THIS URGENT VISAGE BECKONS US,*/sample631 PROGRAM NOTE READS AS FOLLOWS TAKE HANDS THIS URGENT VISAGE BECKONS US
631,632,si632,The orchestra was obviously on its mettle and it played most responsively.,THE ORCHESTRA WAS OBVIOUSLY ON ITS METTLE AND IT PLAYED MOST RESPONSIVELY,*/sample632 THE ORCHESTRA WAS OBVIOUSLY ON ITS METTLE AND IT PLAYED MOST RESPONSIVELY
632,633,si633,He liked to nip ear lobes of unsuspecting visitors with his needle-sharp teeth.,HE LIKED TO NIP EAR LOBES OF UNSUSPECTING VISITORS WITH HIS NEEDLE-SHARP TEETH,*/sample633 HE LIKED TO NIP EAR LOBES OF UNSUSPECTING VISITORS WITH HIS NEEDLE-SHARP TEETH
633,634,si634,"Here, he is, quite persuasively, the very embodiment of meanness and slyness.",HERE HE IS QUITE PERSUASIVELY THE VERY EMBODIMENT OF MEANNESS AND SLYNESS,*/sample634 HERE HE IS QUITE PERSUASIVELY THE VERY EMBODIMENT OF MEANNESS AND SLYNESS
634,635,si635,"He is a man of major talent -- but a man of solitary, uncertain impulses.",HE IS A MAN OF MAJOR TALENT  BUT A MAN OF SOLITARY UNCERTAIN IMPULSES,*/sample635 HE IS A MAN OF MAJOR TALENT  BUT A MAN OF SOLITARY UNCERTAIN IMPULSES
635,636,si636,"He was above all a friend seeker, almost pathetic in his eagerness to be liked.",HE WAS ABOVE ALL A FRIEND SEEKER ALMOST PATHETIC IN HIS EAGERNESS TO BE LIKED,*/sample636 HE WAS ABOVE ALL A FRIEND SEEKER ALMOST PATHETIC IN HIS EAGERNESS TO BE LIKED
636,637,si637,He enlisted a staff of loyal experts and of many zealous volunteers.,HE ENLISTED A STAFF OF LOYAL EXPERTS AND OF MANY ZEALOUS VOLUNTEERS,*/sample637 HE ENLISTED A STAFF OF LOYAL EXPERTS AND OF MANY ZEALOUS VOLUNTEERS
637,638,si638,This theory eventually proved inexact.,THIS THEORY EVENTUALLY PROVED INEXACT,*/sample638 THIS THEORY EVENTUALLY PROVED INEXACT
638,639,si639,The heavens refused to give up their weeping.,THE HEAVENS REFUSED TO GIVE UP THEIR WEEPING,*/sample639 THE HEAVENS REFUSED TO GIVE UP THEIR WEEPING
639,640,si640,But what has been happening recently might be described as creeping mannerism.,BUT WHAT HAS BEEN HAPPENING RECENTLY MIGHT BE DESCRIBED AS CREEPING MANNERISM,*/sample640 BUT WHAT HAS BEEN HAPPENING RECENTLY MIGHT BE DESCRIBED AS CREEPING MANNERISM
640,641,si641,"Clever light songs were overly coy, tragic songs a little too melodramatic.",CLEVER LIGHT SONGS WERE OVERLY COY TRAGIC SONGS A LITTLE TOO MELODRAMATIC,*/sample641 CLEVER LIGHT SONGS WERE OVERLY COY TRAGIC SONGS A LITTLE TOO MELODRAMATIC
641,642,si642,"Their props were two stepladders, a chair and a palm fan.",THEIR PROPS WERE TWO STEPLADDERS A CHAIR AND A PALM FAN,*/sample642 THEIR PROPS WERE TWO STEPLADDERS A CHAIR AND A PALM FAN
642,643,si643,The armchair traveler preserves his illusions.,THE ARMCHAIR TRAVELER PRESERVES HIS ILLUSIONS,*/sample643 THE ARMCHAIR TRAVELER PRESERVES HIS ILLUSIONS
643,644,si644,All are well written and are overwritten.,ALL ARE WELL WRITTEN AND ARE OVERWRITTEN,*/sample644 ALL ARE WELL WRITTEN AND ARE OVERWRITTEN
644,645,si645,He ignores guidebook facts.,HE IGNORES GUIDEBOOK FACTS,*/sample645 HE IGNORES GUIDEBOOK FACTS
645,646,si646,"Nice, even if a trifle gaudy.",NICE EVEN IF A TRIFLE GAUDY,*/sample646 NICE EVEN IF A TRIFLE GAUDY
646,647,si647,"Below is a specific guide, keyed to the calendar.",BELOW IS A SPECIFIC GUIDE KEYED TO THE CALENDAR,*/sample647 BELOW IS A SPECIFIC GUIDE KEYED TO THE CALENDAR
647,648,si648,A sailboat may have a bone in her teeth one minute and lie becalmed the next.,A SAILBOAT MAY HAVE A BONE IN HER TEETH ONE MINUTE AND LIE BECALMED THE NEXT,*/sample648 A SAILBOAT MAY HAVE A BONE IN HER TEETH ONE MINUTE AND LIE BECALMED THE NEXT
648,649,si649,It suffers from a lack of unity of purpose and respect for heroic leadership.,IT SUFFERS FROM A LACK OF UNITY OF PURPOSE AND RESPECT FOR HEROIC LEADERSHIP,*/sample649 IT SUFFERS FROM A LACK OF UNITY OF PURPOSE AND RESPECT FOR HEROIC LEADERSHIP
649,650,si650,The fat man has trouble buying life insurance or has to pay higher premiums.,THE FAT MAN HAS TROUBLE BUYING LIFE INSURANCE OR HAS TO PAY HIGHER PREMIUMS,*/sample650 THE FAT MAN HAS TROUBLE BUYING LIFE INSURANCE OR HAS TO PAY HIGHER PREMIUMS
650,651,si651,"Far more frequently, overeating is the result of a psychological compulsion.",FAR MORE FREQUENTLY OVEREATING IS THE RESULT OF A PSYCHOLOGICAL COMPULSION,*/sample651 FAR MORE FREQUENTLY OVEREATING IS THE RESULT OF A PSYCHOLOGICAL COMPULSION
651,652,si652,Just what is meant by spirit and by matter?,JUST WHAT IS MEANT BY SPIRIT AND BY MATTER,*/sample652 JUST WHAT IS MEANT BY SPIRIT AND BY MATTER
652,653,si653,Surely this is a reality we all acknowledge.,SURELY THIS IS A REALITY WE ALL ACKNOWLEDGE,*/sample653 SURELY THIS IS A REALITY WE ALL ACKNOWLEDGE
653,654,si654,Yet it exists and has an objective reality which can be experienced and known.,YET IT EXISTS AND HAS AN OBJECTIVE REALITY WHICH CAN BE EXPERIENCED AND KNOWN,*/sample654 YET IT EXISTS AND HAS AN OBJECTIVE REALITY WHICH CAN BE EXPERIENCED AND KNOWN
654,655,si655,Yet the spirit which lives in community is not identical with the community.,YET THE SPIRIT WHICH LIVES IN COMMUNITY IS NOT IDENTICAL WITH THE COMMUNITY,*/sample655 YET THE SPIRIT WHICH LIVES IN COMMUNITY IS NOT IDENTICAL WITH THE COMMUNITY
655,656,si656,But this statement is completely unconvincing.,BUT THIS STATEMENT IS COMPLETELY UNCONVINCING,*/sample656 BUT THIS STATEMENT IS COMPLETELY UNCONVINCING
656,657,si657,A second point requires more extended comment.,A SECOND POINT REQUIRES MORE EXTENDED COMMENT,*/sample657 A SECOND POINT REQUIRES MORE EXTENDED COMMENT
657,658,si658,"The straight line would symbolize its uniqueness, the circle its universality.",THE STRAIGHT LINE WOULD SYMBOLIZE ITS UNIQUENESS THE CIRCLE ITS UNIVERSALITY,*/sample658 THE STRAIGHT LINE WOULD SYMBOLIZE ITS UNIQUENESS THE CIRCLE ITS UNIVERSALITY
658,659,si659,"His history is his alone, yet each man must recognize his own history in it.",HIS HISTORY IS HIS ALONE YET EACH MAN MUST RECOGNIZE HIS OWN HISTORY IN IT,*/sample659 HIS HISTORY IS HIS ALONE YET EACH MAN MUST RECOGNIZE HIS OWN HISTORY IN IT
659,660,si660,Historical existence is a created good.,HISTORICAL EXISTENCE IS A CREATED GOOD,*/sample660 HISTORICAL EXISTENCE IS A CREATED GOOD
660,661,si661,"Death reminds man of his sin, but it reminds him also of his transience.",DEATH REMINDS MAN OF HIS SIN BUT IT REMINDS HIM ALSO OF HIS TRANSIENCE,*/sample661 DEATH REMINDS MAN OF HIS SIN BUT IT REMINDS HIM ALSO OF HIS TRANSIENCE
661,662,si662,Such a calm and assuring peace can be yours.,SUCH A CALM AND ASSURING PEACE CAN BE YOURS,*/sample662 SUCH A CALM AND ASSURING PEACE CAN BE YOURS
662,663,si663,"Satellites, sputniks, rockets, balloons; what next?",SATELLITES SPUTNIKS ROCKETS BALLOONS WHAT NEXT,*/sample663 SATELLITES SPUTNIKS ROCKETS BALLOONS WHAT NEXT
663,664,si664,Look at the things we do to escape our fears and to forget our worries.,LOOK AT THE THINGS WE DO TO ESCAPE OUR FEARS AND TO FORGET OUR WORRIES,*/sample664 LOOK AT THE THINGS WE DO TO ESCAPE OUR FEARS AND TO FORGET OUR WORRIES
664,665,si665,"Meanwhile, the enemy will capitalize on our fears, if he can.",MEANWHILE THE ENEMY WILL CAPITALIZE ON OUR FEARS IF HE CAN,*/sample665 MEANWHILE THE ENEMY WILL CAPITALIZE ON OUR FEARS IF HE CAN
665,666,si666,Our enemy is also threatening to devour us.,OUR ENEMY IS ALSO THREATENING TO DEVOUR US,*/sample666 OUR ENEMY IS ALSO THREATENING TO DEVOUR US
666,667,si667,"Yes indeed, we too can see a warlike host of infidels encamped against us.",YES INDEED WE TOO CAN SEE A WARLIKE HOST OF INFIDELS ENCAMPED AGAINST US,*/sample667 YES INDEED WE TOO CAN SEE A WARLIKE HOST OF INFIDELS ENCAMPED AGAINST US
667,668,si668,"We are all involved in them, deeply involved.",WE ARE ALL INVOLVED IN THEM DEEPLY INVOLVED,*/sample668 WE ARE ALL INVOLVED IN THEM DEEPLY INVOLVED
668,669,si669,"Later, we shall see what happened when an emperor took this idea too literally.",LATER WE SHALL SEE WHAT HAPPENED WHEN AN EMPEROR TOOK THIS IDEA TOO LITERALLY,*/sample669 LATER WE SHALL SEE WHAT HAPPENED WHEN AN EMPEROR TOOK THIS IDEA TOO LITERALLY
669,670,si670,Neglect means spiritual paralysis or death.,NEGLECT MEANS SPIRITUAL PARALYSIS OR DEATH,*/sample670 NEGLECT MEANS SPIRITUAL PARALYSIS OR DEATH
670,671,si671,A helpful leaflet may be enclosed in the letter.,A HELPFUL LEAFLET MAY BE ENCLOSED IN THE LETTER,*/sample671 A HELPFUL LEAFLET MAY BE ENCLOSED IN THE LETTER
671,672,si672,None should ask less.,NONE SHOULD ASK LESS,*/sample672 NONE SHOULD ASK LESS
672,673,si673,"Psychologically the reception should be the climax, following the sermon.",PSYCHOLOGICALLY THE RECEPTION SHOULD BE THE CLIMAX FOLLOWING THE SERMON,*/sample673 PSYCHOLOGICALLY THE RECEPTION SHOULD BE THE CLIMAX FOLLOWING THE SERMON
673,674,si674,This is no spectator-type experience; everyone is to be a participant.,THIS IS NO SPECTATOR-TYPE EXPERIENCE EVERYONE IS TO BE A PARTICIPANT,*/sample674 THIS IS NO SPECTATOR-TYPE EXPERIENCE EVERYONE IS TO BE A PARTICIPANT
674,675,si675,"Both eventualities are possible logically, but practically they are impossible.",BOTH EVENTUALITIES ARE POSSIBLE LOGICALLY BUT PRACTICALLY THEY ARE IMPOSSIBLE,*/sample675 BOTH EVENTUALITIES ARE POSSIBLE LOGICALLY BUT PRACTICALLY THEY ARE IMPOSSIBLE
675,676,si676,Theocracy reconsidered.,THEOCRACY RECONSIDERED,*/sample676 THEOCRACY RECONSIDERED
676,677,si677,Comparable trends can be noted elsewhere.,COMPARABLE TRENDS CAN BE NOTED ELSEWHERE,*/sample677 COMPARABLE TRENDS CAN BE NOTED ELSEWHERE
677,678,si678,Salvation reconsidered.,SALVATION RECONSIDERED,*/sample678 SALVATION RECONSIDERED
678,679,si679,"He is not talking in the main about probabilities, risks and danger in general.",HE IS NOT TALKING IN THE MAIN ABOUT PROBABILITIES RISKS AND DANGER IN GENERAL,*/sample679 HE IS NOT TALKING IN THE MAIN ABOUT PROBABILITIES RISKS AND DANGER IN GENERAL
679,680,si680,No political order or economic system is so clearly contrary to nature.,NO POLITICAL ORDER OR ECONOMIC SYSTEM IS SO CLEARLY CONTRARY TO NATURE,*/sample680 NO POLITICAL ORDER OR ECONOMIC SYSTEM IS SO CLEARLY CONTRARY TO NATURE
680,681,si681,Would such an act of refusal be useful?,WOULD SUCH AN ACT OF REFUSAL BE USEFUL,*/sample681 WOULD SUCH AN ACT OF REFUSAL BE USEFUL
681,682,si682,Often they are able to get in only because the area is declining economically.,OFTEN THEY ARE ABLE TO GET IN ONLY BECAUSE THE AREA IS DECLINING ECONOMICALLY,*/sample682 OFTEN THEY ARE ABLE TO GET IN ONLY BECAUSE THE AREA IS DECLINING ECONOMICALLY
682,683,si683,An octillion atoms -- now let us see where this power comes from.,AN OCTILLION ATOMS  NOW LET US SEE WHERE THIS POWER COMES FROM,*/sample683 AN OCTILLION ATOMS  NOW LET US SEE WHERE THIS POWER COMES FROM
683,684,si684,"This is the atomic sun, the atomic nucleus.",THIS IS THE ATOMIC SUN THE ATOMIC NUCLEUS,*/sample684 THIS IS THE ATOMIC SUN THE ATOMIC NUCLEUS
684,685,si685,"At any rate, it shows us how immaterial we are.",AT ANY RATE IT SHOWS US HOW IMMATERIAL WE ARE,*/sample685 AT ANY RATE IT SHOWS US HOW IMMATERIAL WE ARE
685,686,si686,Others were ephemeral.,OTHERS WERE EPHEMERAL,*/sample686 OTHERS WERE EPHEMERAL
686,687,si687,The anti-slavery movement took many forms.,THE ANTI-SLAVERY MOVEMENT TOOK MANY FORMS,*/sample687 THE ANTI-SLAVERY MOVEMENT TOOK MANY FORMS
687,688,si688,The dead spirits occupied a prominent place in every hope and in every fear.,THE DEAD SPIRITS OCCUPIED A PROMINENT PLACE IN EVERY HOPE AND IN EVERY FEAR,*/sample688 THE DEAD SPIRITS OCCUPIED A PROMINENT PLACE IN EVERY HOPE AND IN EVERY FEAR
688,689,si689,Men believed they could control nature by obeying a moral code.,MEN BELIEVED THEY COULD CONTROL NATURE BY OBEYING A MORAL CODE,*/sample689 MEN BELIEVED THEY COULD CONTROL NATURE BY OBEYING A MORAL CODE
689,690,si690,"Propriety was synonymous with ritual observance, the mark of a true gentleman.",PROPRIETY WAS SYNONYMOUS WITH RITUAL OBSERVANCE THE MARK OF A TRUE GENTLEMAN,*/sample690 PROPRIETY WAS SYNONYMOUS WITH RITUAL OBSERVANCE THE MARK OF A TRUE GENTLEMAN
690,691,si691,But this esoteric doctrine was lost in the shuffle to acquire special powers.,BUT THIS ESOTERIC DOCTRINE WAS LOST IN THE SHUFFLE TO ACQUIRE SPECIAL POWERS,*/sample691 BUT THIS ESOTERIC DOCTRINE WAS LOST IN THE SHUFFLE TO ACQUIRE SPECIAL POWERS
691,692,si692,"Why, said the teacher, art thou so late?",WHY SAID THE TEACHER ART THOU SO LATE,*/sample692 WHY SAID THE TEACHER ART THOU SO LATE
692,693,si693,He who does not love abides in death.,HE WHO DOES NOT LOVE ABIDES IN DEATH,*/sample693 HE WHO DOES NOT LOVE ABIDES IN DEATH
693,694,si694,The new birth is miraculous and mysterious.,THE NEW BIRTH IS MIRACULOUS AND MYSTERIOUS,*/sample694 THE NEW BIRTH IS MIRACULOUS AND MYSTERIOUS
694,695,si695,The new birth is immediate and instantaneous.,THE NEW BIRTH IS IMMEDIATE AND INSTANTANEOUS,*/sample695 THE NEW BIRTH IS IMMEDIATE AND INSTANTANEOUS
695,696,si696,Some have walked through pain and sorrow to bring you their message of hope.,SOME HAVE WALKED THROUGH PAIN AND SORROW TO BRING YOU THEIR MESSAGE OF HOPE,*/sample696 SOME HAVE WALKED THROUGH PAIN AND SORROW TO BRING YOU THEIR MESSAGE OF HOPE
696,697,si697,But from the start they had two important ingredients: sincerity and realism.,BUT FROM THE START THEY HAD TWO IMPORTANT INGREDIENTS SINCERITY AND REALISM,*/sample697 BUT FROM THE START THEY HAD TWO IMPORTANT INGREDIENTS SINCERITY AND REALISM
697,698,si698,The crisis later on when debts seemed about to overwhelm me.,THE CRISIS LATER ON WHEN DEBTS SEEMED ABOUT TO OVERWHELM ME,*/sample698 THE CRISIS LATER ON WHEN DEBTS SEEMED ABOUT TO OVERWHELM ME
698,699,si699,"You're not living up to your own principles, she told my discouraged people.",YOU'RE NOT LIVING UP TO YOUR OWN PRINCIPLES SHE TOLD MY DISCOURAGED PEOPLE,*/sample699 YOU'RE NOT LIVING UP TO YOUR OWN PRINCIPLES SHE TOLD MY DISCOURAGED PEOPLE
699,700,si700,You're so preoccupied that you've let your faith grow dim.,YOU'RE SO PREOCCUPIED THAT YOU'VE LET YOUR FAITH GROW DIM,*/sample700 YOU'RE SO PREOCCUPIED THAT YOU'VE LET YOUR FAITH GROW DIM
700,701,si701,There are people who travel long distances to assure my continued existence.,THERE ARE PEOPLE WHO TRAVEL LONG DISTANCES TO ASSURE MY CONTINUED EXISTENCE,*/sample701 THERE ARE PEOPLE WHO TRAVEL LONG DISTANCES TO ASSURE MY CONTINUED EXISTENCE
701,702,si702,We have also seen the power of faith at work among us.,WE HAVE ALSO SEEN THE POWER OF FAITH AT WORK AMONG US,*/sample702 WE HAVE ALSO SEEN THE POWER OF FAITH AT WORK AMONG US
702,703,si703,It was muscular but it wasn't symmetrical.,IT WAS MUSCULAR BUT IT WASN'T SYMMETRICAL,*/sample703 IT WAS MUSCULAR BUT IT WASN'T SYMMETRICAL
703,704,si704,"Oh, you'll wobble and weave quite a bit at first.",OH YOU'LL WOBBLE AND WEAVE QUITE A BIT AT FIRST,*/sample704 OH YOU'LL WOBBLE AND WEAVE QUITE A BIT AT FIRST
704,705,si705,Ants carry away the seeds so better be sure that there are no ant hills nearby.,ANTS CARRY AWAY THE SEEDS SO BETTER BE SURE THAT THERE ARE NO ANT HILLS NEARBY,*/sample705 ANTS CARRY AWAY THE SEEDS SO BETTER BE SURE THAT THERE ARE NO ANT HILLS NEARBY
705,706,si706,Pansies are gluttons.,PANSIES ARE GLUTTONS,*/sample706 PANSIES ARE GLUTTONS
706,707,si707,"The avocado should have a give to it, as you hold it, when it is ripe.",THE AVOCADO SHOULD HAVE A GIVE TO IT AS YOU HOLD IT WHEN IT IS RIPE,*/sample707 THE AVOCADO SHOULD HAVE A GIVE TO IT AS YOU HOLD IT WHEN IT IS RIPE
707,708,si708,There is no dyeing or waxing or gassing needed.,THERE IS NO DYEING OR WAXING OR GASSING NEEDED,*/sample708 THERE IS NO DYEING OR WAXING OR GASSING NEEDED
708,709,si709,"Avocados, however, are very rich in nutrients.",AVOCADOS HOWEVER ARE VERY RICH IN NUTRIENTS,*/sample709 AVOCADOS HOWEVER ARE VERY RICH IN NUTRIENTS
709,710,si710,"However, the aircraft which we have today are tied to large, soft airfields.",HOWEVER THE AIRCRAFT WHICH WE HAVE TODAY ARE TIED TO LARGE SOFT AIRFIELDS,*/sample710 HOWEVER THE AIRCRAFT WHICH WE HAVE TODAY ARE TIED TO LARGE SOFT AIRFIELDS
710,711,si711,Nuclear rockets can destroy airfields with ease.,NUCLEAR ROCKETS CAN DESTROY AIRFIELDS WITH EASE,*/sample711 NUCLEAR ROCKETS CAN DESTROY AIRFIELDS WITH EASE
711,712,si712,"Our first necessity, at the very outset of war, is post-attack reconnaissance.",OUR FIRST NECESSITY AT THE VERY OUTSET OF WAR IS POST-ATTACK RECONNAISSANCE,*/sample712 OUR FIRST NECESSITY AT THE VERY OUTSET OF WAR IS POST-ATTACK RECONNAISSANCE
712,713,si713,What targets have we successfully knocked out?,WHAT TARGETS HAVE WE SUCCESSFULLY KNOCKED OUT,*/sample713 WHAT TARGETS HAVE WE SUCCESSFULLY KNOCKED OUT
713,714,si714,Other interpretations present the music as an essentially intimate creation.,OTHER INTERPRETATIONS PRESENT THE MUSIC AS AN ESSENTIALLY INTIMATE CREATION,*/sample714 OTHER INTERPRETATIONS PRESENT THE MUSIC AS AN ESSENTIALLY INTIMATE CREATION
714,715,si715,For me it has more of both elements than the majority of its competitors.,FOR ME IT HAS MORE OF BOTH ELEMENTS THAN THE MAJORITY OF ITS COMPETITORS,*/sample715 FOR ME IT HAS MORE OF BOTH ELEMENTS THAN THE MAJORITY OF ITS COMPETITORS
715,716,si716,There are canoes ideal for fishing in protected waters or for camping trips.,THERE ARE CANOES IDEAL FOR FISHING IN PROTECTED WATERS OR FOR CAMPING TRIPS,*/sample716 THERE ARE CANOES IDEAL FOR FISHING IN PROTECTED WATERS OR FOR CAMPING TRIPS
716,717,si717,Now here is truly a marvel.,NOW HERE IS TRULY A MARVEL,*/sample717 NOW HERE IS TRULY A MARVEL
717,718,si718,State numbering laws differ from each other in many ways.,STATE NUMBERING LAWS DIFFER FROM EACH OTHER IN MANY WAYS,*/sample718 STATE NUMBERING LAWS DIFFER FROM EACH OTHER IN MANY WAYS
718,719,si719,Industry interest in safety goes even farther.,INDUSTRY INTEREST IN SAFETY GOES EVEN FARTHER,*/sample719 INDUSTRY INTEREST IN SAFETY GOES EVEN FARTHER
719,720,si720,File to a smooth finish.,FILE TO A SMOOTH FINISH,*/sample720 FILE TO A SMOOTH FINISH
720,721,si721,This tool can also be made with a lathe.,THIS TOOL CAN ALSO BE MADE WITH A LATHE,*/sample721 THIS TOOL CAN ALSO BE MADE WITH A LATHE
721,722,si722,This changes the formula to an equation.,THIS CHANGES THE FORMULA TO AN EQUATION,*/sample722 THIS CHANGES THE FORMULA TO AN EQUATION
722,723,si723,The total of these three volumes is the final combustion chamber volume.,THE TOTAL OF THESE THREE VOLUMES IS THE FINAL COMBUSTION CHAMBER VOLUME,*/sample723 THE TOTAL OF THESE THREE VOLUMES IS THE FINAL COMBUSTION CHAMBER VOLUME
723,724,si724,"It's a streamlined rifle, fast and well-made.",IT'S A STREAMLINED RIFLE FAST AND WELL-MADE,*/sample724 IT'S A STREAMLINED RIFLE FAST AND WELL-MADE
724,725,si725,A spring trap for solid mounting and a regular hand trap are also available.,A SPRING TRAP FOR SOLID MOUNTING AND A REGULAR HAND TRAP ARE ALSO AVAILABLE,*/sample725 A SPRING TRAP FOR SOLID MOUNTING AND A REGULAR HAND TRAP ARE ALSO AVAILABLE
725,726,si726,Promptly at seven he would clatter out of the court with twelve in the tallyho.,PROMPTLY AT SEVEN HE WOULD CLATTER OUT OF THE COURT WITH TWELVE IN THE TALLYHO,*/sample726 PROMPTLY AT SEVEN HE WOULD CLATTER OUT OF THE COURT WITH TWELVE IN THE TALLYHO
726,727,si727,Then simmer fifteen minutes longer.,THEN SIMMER FIFTEEN MINUTES LONGER,*/sample727 THEN SIMMER FIFTEEN MINUTES LONGER
727,728,si728,"Poach the apples in this syrup for twelve minutes, drain them, and cool.",POACH THE APPLES IN THIS SYRUP FOR TWELVE MINUTES DRAIN THEM AND COOL,*/sample728 POACH THE APPLES IN THIS SYRUP FOR TWELVE MINUTES DRAIN THEM AND COOL
728,729,si729,Best solution is to find an area that is predominantly sunlight or shade.,BEST SOLUTION IS TO FIND AN AREA THAT IS PREDOMINANTLY SUNLIGHT OR SHADE,*/sample729 BEST SOLUTION IS TO FIND AN AREA THAT IS PREDOMINANTLY SUNLIGHT OR SHADE
729,730,si730,Another memo for sightseers: bring your camera along to museums.,ANOTHER MEMO FOR SIGHTSEERS BRING YOUR CAMERA ALONG TO MUSEUMS,*/sample730 ANOTHER MEMO FOR SIGHTSEERS BRING YOUR CAMERA ALONG TO MUSEUMS
730,731,si731,A few years later the dome fell in.,A FEW YEARS LATER THE DOME FELL IN,*/sample731 A FEW YEARS LATER THE DOME FELL IN
731,732,si732,Do line barbecue fire bowl with heavy foil to reflect heat.,DO LINE BARBECUE FIRE BOWL WITH HEAVY FOIL TO REFLECT HEAT,*/sample732 DO LINE BARBECUE FIRE BOWL WITH HEAVY FOIL TO REFLECT HEAT
732,733,si733,Do avoid puncturing or cutting into meats to test them.,DO AVOID PUNCTURING OR CUTTING INTO MEATS TO TEST THEM,*/sample733 DO AVOID PUNCTURING OR CUTTING INTO MEATS TO TEST THEM
733,734,si734,"If necessary to replace both halves on grill, sear cuts and allot extra time.",IF NECESSARY TO REPLACE BOTH HALVES ON GRILL SEAR CUTS AND ALLOT EXTRA TIME,*/sample734 IF NECESSARY TO REPLACE BOTH HALVES ON GRILL SEAR CUTS AND ALLOT EXTRA TIME
734,735,si735,"For roasts, insert meat thermometer diagonally so it does not rest on bone.",FOR ROASTS INSERT MEAT THERMOMETER DIAGONALLY SO IT DOES NOT REST ON BONE,*/sample735 FOR ROASTS INSERT MEAT THERMOMETER DIAGONALLY SO IT DOES NOT REST ON BONE
735,736,si736,Also make sure thermometer does not touch the revolving spit or hit the coals.,ALSO MAKE SURE THERMOMETER DOES NOT TOUCH THE REVOLVING SPIT OR HIT THE COALS,*/sample736 ALSO MAKE SURE THERMOMETER DOES NOT TOUCH THE REVOLVING SPIT OR HIT THE COALS
736,737,si737,"Have a test-run on the family first, to be sure timing and seasoning are right.",HAVE A TEST-RUN ON THE FAMILY FIRST TO BE SURE TIMING AND SEASONING ARE RIGHT,*/sample737 HAVE A TEST-RUN ON THE FAMILY FIRST TO BE SURE TIMING AND SEASONING ARE RIGHT
737,738,si738,Don't plan meals that are too complicated.,DON'T PLAN MEALS THAT ARE TOO COMPLICATED,*/sample738 DON'T PLAN MEALS THAT ARE TOO COMPLICATED
738,739,si739,Keep the desserts simple; fruit does nicely.,KEEP THE DESSERTS SIMPLE FRUIT DOES NICELY,*/sample739 KEEP THE DESSERTS SIMPLE FRUIT DOES NICELY
739,740,si740,Do without fancy tablecloths.,DO WITHOUT FANCY TABLECLOTHS,*/sample740 DO WITHOUT FANCY TABLECLOTHS
740,741,si741,"In the winter, hibachi in the kitchen or grill over the logs of the fireplace.",IN THE WINTER HIBACHI IN THE KITCHEN OR GRILL OVER THE LOGS OF THE FIREPLACE,*/sample741 IN THE WINTER HIBACHI IN THE KITCHEN OR GRILL OVER THE LOGS OF THE FIREPLACE
741,742,si742,"Summertime supper, outside, is a natural.",SUMMERTIME SUPPER OUTSIDE IS A NATURAL,*/sample742 SUMMERTIME SUPPER OUTSIDE IS A NATURAL
742,743,si743,Do buy all-purpose mugs or cups.,DO BUY ALL-PURPOSE MUGS OR CUPS,*/sample743 DO BUY ALL-PURPOSE MUGS OR CUPS
743,744,si744,Get copper or earthenware mugs that keep beer chilled or soup hot.,GET COPPER OR EARTHENWARE MUGS THAT KEEP BEER CHILLED OR SOUP HOT,*/sample744 GET COPPER OR EARTHENWARE MUGS THAT KEEP BEER CHILLED OR SOUP HOT
744,745,si745,Broil or toast as usual.,BROIL OR TOAST AS USUAL,*/sample745 BROIL OR TOAST AS USUAL
745,746,si746,"For sweet-sour sauce, cook onion in oil until soft.",FOR SWEET-SOUR SAUCE COOK ONION IN OIL UNTIL SOFT,*/sample746 FOR SWEET-SOUR SAUCE COOK ONION IN OIL UNTIL SOFT
746,747,si747,Add remaining ingredients and bring to a boil.,ADD REMAINING INGREDIENTS AND BRING TO A BOIL,*/sample747 ADD REMAINING INGREDIENTS AND BRING TO A BOIL
747,748,si748,"To prepare mustard cream, blend mustard with enough water to make a thin paste.",TO PREPARE MUSTARD CREAM BLEND MUSTARD WITH ENOUGH WATER TO MAKE A THIN PASTE,*/sample748 TO PREPARE MUSTARD CREAM BLEND MUSTARD WITH ENOUGH WATER TO MAKE A THIN PASTE
748,749,si749,Fold into whipped cream and add a dash of salt and sprinkling of paprika.,FOLD INTO WHIPPED CREAM AND ADD A DASH OF SALT AND SPRINKLING OF PAPRIKA,*/sample749 FOLD INTO WHIPPED CREAM AND ADD A DASH OF SALT AND SPRINKLING OF PAPRIKA
